IG,IG_NT,DL,GS,FA
"tensor([  0.0000,  -0.0000, -18.8320,   0.0000,  -0.0000,   0.0000,  -0.0000,
         -0.0000,   0.0000,  -0.0000,  -0.9153,   1.0275,   1.2955,   0.9071,
         -0.0793,   3.1151,   2.5583,  -0.3478,  15.7487,   0.9836,  -0.4372,
          1.8260,  -0.2551,   4.0371,  -0.4497,  -1.3447,   2.0127,   0.8948,
          0.3610, -17.0148,  -3.5982,   1.1543,  -0.4294,   1.1171,   1.4745,
         -0.0000,  -0.0000,   0.0000,   0.0000,   0.0000], dtype=torch.float64)","tensor([ -2.0032,   0.9963, -24.4657,   0.5782,   3.0147,   1.4080,  -3.3894,
          1.4654,   0.2739,  -0.1633,  -0.7296,   2.8831,   3.6375,   8.2448,
          1.6523,   5.1747,  -2.8918,  -2.8651,   0.4572,   2.6994,   0.5225,
          1.2057,  -2.2987,  -0.8762,  -7.8642,  -3.6076,  -1.8406,  -2.1802,
          2.6804,  12.6324, -22.1627,   7.8847,  -0.4455,   5.7694,   0.4041,
         -0.9131,   4.7971,  -5.8708,  -2.7036,   1.6997], dtype=torch.float64)","tensor([-0.0000, -0.0000, -9.6897,  0.0000, -0.0000, -0.0000, -0.0000, -0.0000,
         0.0000, -0.0000, -3.9297, -2.2827, -2.0618,  3.3748, -0.7116, -1.4916,
         8.7178,  0.4032, 15.2421, -0.5059, -8.9225,  7.9352,  1.8008, -1.4910,
         4.1054, -6.2545, -0.6747, -0.9500, -0.5845, -2.6129,  0.7272,  4.9375,
         0.1272, -3.4429, -3.6901, -0.0000, -0.0000, -0.0000, -0.0000,  0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-2.8913e-02, -5.9962e-02,  5.9334e+00,  0.0000e+00, -1.6129e-02,
        -1.5652e-01,  0.0000e+00, -2.8665e-02,  1.2967e+00,  0.0000e+00,
         2.0724e+00,  3.2051e-01,  5.9476e-02, -9.7266e-02,  2.4481e-02,
         5.5110e-02, -1.0148e-01, -1.1596e-02, -1.1492e-01, -2.9435e-02,
         3.4288e-02, -5.0636e-02,  3.4750e-01,  1.4029e-01,  6.1109e-03,
        -1.5650e-02, -8.2877e-02, -4.6202e-01, -1.2014e-01,  1.7846e-01,
        -1.5198e+00, -5.4882e-02, -3.5908e-03,  9.4995e-02,  2.8062e-02,
         0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00])","tensor([ 0.0000,  0.0000, -0.2810,  0.5830, -0.0496,  0.0000,  0.0000,  0.0000,
        -0.1244,  0.0000, -0.0080,  0.0298, -0.5768,  0.4250, -0.1343, -0.4379,
        -1.1097,  0.0487,  0.4494, -0.0033,  0.0270, -1.5756, -0.1020, -0.3209,
        -0.1624,  0.5285, -0.0021,  0.0289, -0.0402,  0.5006, -0.6310, -0.5092,
        -0.0837, -0.4289,  0.1004,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])"
"tensor([-0.0000e+00, -0.0000e+00,  0.0000e+00,  1.2403e+01,  2.3070e+00,
        -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00,
        -0.0000e+00, -0.0000e+00, -1.5772e-01,  5.7209e+00, -5.9964e-01,
        -1.2643e+00, -5.3775e+00,  7.2045e+00, -1.5545e+01,  3.7229e+00,
         5.9967e+00, -1.3528e+01,  9.4273e-03, -3.0253e+00, -1.4237e+00,
         1.0980e+00, -6.0667e-01,  1.4307e+00,  4.6641e+00, -1.1402e+01,
         3.4482e+00, -8.4936e-01, -1.1307e+00, -4.4383e-01, -1.6215e+00,
        -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00],
       dtype=torch.float64)","tensor([-0.1230,  0.1401,  0.6545,  1.8963, -0.8964,  0.2958, -2.0964, -2.4307,
        -3.6223, -0.3632,  1.2272, -1.7125,  0.7496, -0.2995,  1.2955, -1.5171,
         0.9264, -3.1522, -0.3377, -1.1975,  1.7179,  2.2432, -1.5493,  0.0087,
         2.2070,  4.0780, -4.6178,  2.0951, -0.8534,  5.9838, -5.6950, -2.2548,
        -0.7839,  1.2701,  1.2826, -1.1811, -1.1928, -4.2571,  2.3100, -1.3965],
       dtype=torch.float64)","tensor([-0.0000e+00, -0.0000e+00,  0.0000e+00,  1.2435e+01,  1.3685e-01,
        -0.0000e+00, -0.0000e+00, -0.0000e+00, -0.0000e+00,  0.0000e+00,
        -0.0000e+00, -0.0000e+00,  3.4314e-01, -3.8739e+00, -3.0118e-01,
         1.7296e+00, -5.1138e+00,  2.2865e+00,  4.1218e+00,  7.2249e-01,
        -2.5405e+00, -8.8748e+00, -2.9680e+00,  2.6112e+00, -4.2075e-01,
        -2.7159e+00,  5.4045e-01, -2.8255e+00,  5.7618e-03,  1.0795e+01,
         6.5716e-01, -3.4109e+00, -7.3876e-01,  6.9749e-01,  8.9939e-01,
        -0.0000e+00, -0.0000e+00,  0.0000e+00, -0.0000e+00, -0.0000e+00],
       grad_fn=<UnbindBackward0>)","tensor([ 0.0000,  0.0000,  0.0000,  1.5237, -0.1251,  0.0960,  0.0000,  0.0000,
         0.0000,  0.0000,  0.0000, -0.0926,  0.4796,  0.0405,  0.0378, -0.0172,
        -0.1007,  0.2321,  1.2776, -0.0815,  1.2531,  0.0255, -0.2699,  0.0503,
        -0.0900, -0.0280, -0.0808, -0.1810,  0.0613,  3.3842, -3.6291,  0.2026,
        -0.1013,  0.0727,  0.1535,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0000,  0.0000,  2.3579,  3.0034, -0.3621,  0.0000,  0.0000,  0.0000,
         0.0770,  0.0000,  0.4267,  0.2272,  0.4771,  0.1213,  0.1738,  0.0945,
         1.2692,  0.5967, -1.2016, -0.4412,  1.6583,  0.2066,  0.2541, -0.0679,
         0.0107,  1.1749, -0.0100, -0.5547, -0.4768, -0.9998, -1.4105,  0.4249,
         0.1502,  0.1496,  0.6280,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])"
"tensor([ -0.0000,  -0.0000, -25.0062,  -0.0000,   0.0000,   0.0000,   0.0000,
          0.0000,  -1.0535,  -0.0000,  -0.0000,  -0.0000,  -0.8240,   0.1992,
         -0.1964,   0.3624,   0.4471,   1.6705,   8.5597,   0.2437,  -0.7446,
          1.5859,   2.4576,   0.9213,  -0.8071,   0.1421,  -0.8560,   2.3345,
         -0.7270,   6.1926,  -2.4484,  -0.7640,  -0.0623,   0.1432,   2.3168,
          0.0000,  -0.0000,   0.0000,   0.0000,   0.0000], dtype=torch.float64)","tensor([  0.1184,  -1.3890, -14.0541,  15.2222,  -0.0713,   0.2102,  -0.9993,
          0.2679,   2.9262,  -0.0454,  -0.4373,  -0.5755,  -1.0682,   1.3402,
         -4.5927,   1.1324,  -3.5660,   2.7609,   8.1407,  -0.8543,   1.3246,
          2.9973,   0.5860,   1.3446,   0.4475,   2.8336,  -0.6334,  -0.2175,
          0.5380,   4.9834,  -0.3151,   0.7775,   2.2317,   0.2260,   2.0084,
         -1.6546,   0.8614,  -0.5028,  -1.1913,  -0.1149], dtype=torch.float64)","tensor([-0.0000,  0.0000,  9.1770, -0.0000, -0.0000, -0.0000,  0.0000, -0.0000,
        -2.2870,  0.0000, -0.0000, -0.0000, -2.2793, -0.3502,  0.8628,  2.1691,
        -1.2203,  1.7019,  6.6706, -0.1790, -0.8679,  0.0974,  3.0328, -2.4998,
        -4.2985,  5.4174,  1.2635, -1.3258, -1.7872, -5.8395, -5.8982, -0.6971,
        -0.1666, -1.6169,  3.0197, -0.0000, -0.0000,  0.0000,  0.0000, -0.0000],
       grad_fn=<UnbindBackward0>)","tensor([-0.0447, -0.0668, -0.4773, -0.1634, -0.0307, -0.0050,  0.0000, -0.0528,
         0.3079,  0.0000,  0.0000, -0.0363,  0.1575, -0.0957, -0.0503,  0.0700,
         0.0239, -0.0042, -0.9751, -0.1499,  0.2830, -0.0131,  0.0208, -0.1346,
        -0.0265, -0.0124, -0.0587,  0.0052,  0.0717,  0.8798,  1.5913, -0.0676,
        -0.0114, -0.0171,  0.1601,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])","tensor([ 0.0000,  0.0000,  0.0045, -0.0506, -0.0811,  0.0000,  0.0000,  0.0000,
        -0.0164,  0.0000, -0.0393,  0.0376, -0.5563, -0.1065, -0.0234, -0.1750,
        -0.1396, -0.2072, -2.5704, -0.0632, -0.1032, -0.1535, -0.0651, -0.5423,
        -0.1739, -0.1389, -0.1208, -0.3396, -0.0656, -1.2368,  2.1442, -0.4174,
         0.0558, -0.0282,  0.5036,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000])"
